Feature	A549	GM12878	HelaS3	HepG2	HMEC	HUVEC	K562	MCF7
H4K20ME1	1	1	1	1	1	1	1	0
HA-E2F1(E2F1)	0	0	1	0	0	0	0	1
HCFC1	0	0	1	0	0	0	1	0
HDAC1	0	0	0	0	0	0	1	0
HDAC2	0	0	0	1	0	0	1	1
HDAC6	0	0	0	0	0	0	1	0
HDAC8	0	0	0	0	0	0	1	0
HMGN3	0	0	0	0	0	0	1	0
HNF4A	0	0	0	1	0	0	0	0
HNF4G	0	0	0	1	0	0	0	0
IKZF1	0	1	0	0	0	0	0	0
ILF2	0	0	0	0	0	0	1	0
INI1(SMARCB1)	0	0	1	0	0	0	0	0
IRF3	0	1	1	1	0	0	0	0
IRF4	0	1	0	0	0	0	0	0
JUNB	0	0	0	0	0	0	1	0
JUND	0	1	1	1	0	0	1	1
KAP1(TRIM28)	0	0	0	0	0	0	1	0
LSD1(KDM1A)	0	0	0	0	0	0	1	0
MAFF	0	0	0	1	0	0	1	0
MAFK	0	1	1	1	0	0	1	0
MAX	1	1	1	1	0	1	1	1
MAZ	0	1	1	1	0	0	1	0
MBD4	0	0	0	1	0	0	0	0
MEF2A	0	1	0	0	0	0	1	0
MEF2C	0	1	0	0	0	0	0	0
MLL5	0	0	0	0	0	0	1	0
MTA3	0	1	0	0	0	0	0	0
MXI1	0	1	1	1	0	0	1	0
MYBL2	0	0	0	1	0	0	0	0
NCOR(NCOR1)	0	0	0	0	0	0	1	0
NELFE	0	0	0	0	0	0	1	0
NF90(ILF3)	0	0	0	0	0	0	1	0
NFATC1	0	1	0	0	0	0	0	0
NFE2	0	1	0	0	0	0	1	0
NFIC	0	1	0	1	0	0	0	0
NFKB	0	1	0	0	0	0	0	0
NFYA	0	1	1	0	0	0	1	0
NFYB	0	1	1	0	0	0	1	0
NR2F2	0	0	0	0	0	0	1	1
NR4A1	0	0	0	0	0	0	1	0
NRF1	0	1	1	1	0	0	1	0
NRSF(REST)	1	1	1	1	0	0	1	1
NSD2(WHSC1)	0	0	0	0	0	0	1	0
P300(EP300)	1	1	1	1	0	0	1	1
PAX5	0	1	0	0	0	0	0	0
PBX3	1	1	0	0	0	0	0	0
PCAF(KAT2B)	0	0	0	0	0	0	1	0
PHASTCONS	1	1	1	1	1	1	1	1
PHF8	0	0	0	0	0	0	1	0
PLU1(KDM5B)	0	0	0	0	0	0	1	0
PML	0	1	0	0	0	0	1	1
POL2(POLR2A)	1	1	1	1	0	1	1	1
POL3(POLR3G)	0	1	0	0	0	0	1	0
POU2F2	0	1	0	0	0	0	0	0
PRDM1	0	0	1	0	0	0	0	0
PU.1(SPI1)	0	1	0	0	0	0	1	0
RAD21	1	1	1	1	0	0	1	1
RBBP5	0	0	0	0	0	0	1	0
RFX5	0	1	1	1	0	0	1	0
RNF2	0	0	0	0	0	0	1	0
RPC155(POLR3A)	0	0	1	0	0	0	1	0
RUNX3	0	1	0	0	0	0	0	0
RXRA	0	1	0	1	0	0	0	0
SAP30	0	0	0	0	0	0	1	0
SETDB1	0	0	0	0	0	0	1	0
SIN3A	1	1	0	1	0	0	1	1
SIRT6	0	0	0	0	0	0	1	0
SIX5	1	1	0	0	0	0	1	0
SMC3	0	1	1	1	0	0	1	0
SP1	1	1	0	1	0	0	1	0
SP2	0	0	0	1	0	0	1	0
SPT20(FAM48A)	0	0	1	0	0	0	0	0
SPT20(SUPT20H)	0	1	0	0	0	0	0	0
SREBP1	0	1	0	0	0	0	0	0
SREBP2	0	1	0	0	0	0	0	0
SRF	0	1	0	1	0	0	1	1
STAT1	0	1	1	0	0	0	1	0
STAT3	0	1	1	0	0	0	0	0
STAT5A	0	1	0	0	0	0	1	0
SUZ12	0	0	0	0	0	0	1	0
TAF1	1	1	1	1	0	0	1	1
TAF7	0	0	0	0	0	0	1	0
TAL1	0	0	0	0	0	0	1	0
TBLR1(TBL1XR1)	0	1	0	0	0	0	1	0
TBP	0	1	1	1	0	0	1	0
TCF1	0	1	0	0	0	0	0	0
TCF12	1	0	0	1	0	0	0	1
TCF3	0	1	0	0	0	0	0	0
TCF7L2	0	0	1	1	0	0	0	1
TEAD4	1	0	0	1	0	0	1	1
TF3C110(GTF3C2)	0	0	1	0	0	0	1	0
THAP1	0	0	0	0	0	0	1	0
TR4(NR2C2)	0	1	1	1	0	0	1	0
TRIM28	0	0	0	0	0	0	1	0
UBF(UBTF)	0	0	0	0	0	0	1	0
UBTF	0	0	0	0	0	0	1	0
USF1	1	1	0	1	0	0	1	0
USF2	0	1	1	1	0	0	1	0
WHIP(WRNIP1)	0	1	0	0	0	0	0	0
XRCC4	0	0	0	0	0	0	1	0
YY1	1	1	0	1	0	0	1	0
ZBTB33	1	1	0	1	0	0	1	0
ZBTB7A	0	0	0	1	0	0	1	0
ZEB1	0	1	0	1	0	0	0	0
ZKSCAN1	0	0	1	0	0	0	0	0
ZNF143	0	1	1	0	0	0	1	0
ZNF217	0	0	0	0	0	0	0	1
ZNF263	0	0	0	0	0	0	1	0
ZNF274	0	1	1	1	0	0	1	0
ZNF384	0	1	0	0	0	0	0	0
ZZZ3	0	1	1	0	0	0	0	0
